id,name,age,income,openness,conscientiousness,extraversion,agreeableness,neuroticism,tolerance,matched_id,happiness
16013,wbndbm,58,6465.3,50.76,57.87,59.34,69.09,27.7,22.58,,81.16
99011,mffbqy,53,1795.15,47.59,40.06,45.11,57.41,36.05,33.64,3214,65.35
3348,amtwmd,40,686.58,55.97,44.7,55.91,53.49,50.11,18.76,90798,52.26
72248,sgccro,28,8225.23,55.33,56.1,64.82,43.3,42.14,34.19,21132,83.03
66320,nyalig,60,3894.5,42.31,56.12,51.93,60.6,72.53,34.07,95642,75.42
65468,qgieqf,33,575.2,56.95,53.6,55.49,43.1,31.21,28.88,80374,55.74
87110,qgrcyk,46,24157.74,49.94,58.55,40.31,64.3,35.49,42.69,,138.08
27609,ospouq,27,4537.56,41.65,48.87,36.82,58.35,49.46,37.15,11105,73.5
56942,axmgso,54,2762.86,35.96,36.17,61.05,58.54,58.83,28.53,10627,61.59
10490,mmukjg,56,3509.79,67.31,33.19,56.9,46.92,46.75,39.76,42715,80.25
9400,bkiigj,22,2004.27,38.53,47.19,38.51,57.69,73.8,17.04,71956,56.08
32663,vkqdgi,52,4326.95,52.81,43.36,49.11,37.71,50.21,29.3,89493,65.75
90141,voxhjo,37,5136.34,42.82,38.64,53.79,41.85,38.36,31.7,33433,64.18
62287,dnjmwf,39,4090.07,56.23,44.19,41.81,39.79,38.6,35.31,39428,67.64
53218,pmtrhx,30,4041.08,60.74,39.97,49.24,40.49,49.63,28.02,30741,67.35
58858,yxrwqx,24,10536.48,53.63,64.82,64.16,45.95,58.48,24.8,11144,87.02
47359,jghnlb,34,5827.73,41.41,53.93,55.78,76.46,53.97,32.65,24811,77.84
45656,gsgusn,36,3763.35,32.92,56.0,56.87,43.53,66.83,37.42,81358,60.04
53690,jnecyx,24,2645.46,53.68,46.01,74.51,42.0,57.43,37.29,15567,69.22
42113,orbbvj,22,1219.82,40.71,55.24,50.18,52.94,49.13,33.55,71839,62.49
32942,nfrgml,39,945.83,46.19,51.38,53.11,43.31,39.96,48.53,17576,62.85
25903,uftlgt,53,24200.52,53.82,71.45,37.31,65.75,46.68,30.65,,136.02
7212,ovnfie,39,2400.19,56.39,45.17,48.82,54.33,48.53,24.03,63980,60.86
26316,zlogcr,53,12822.98,29.03,43.51,49.77,55.92,43.03,29.06,,87.92
93636,zvfcmj,47,31884.65,59.02,41.36,61.64,54.51,46.39,40.47,,160.75
94365,ndzpbm,58,4005.12,51.53,35.02,57.04,52.88,57.13,43.42,5432,80.78
1688,pbmjat,38,4019.12,46.59,53.77,43.38,34.73,55.52,37.46,72909,63.24
87908,ftaxxd,43,8141.03,52.64,59.05,62.43,52.65,55.16,26.71,38450,77.73
43774,rbuxzi,48,4879.42,50.48,51.24,61.21,56.43,31.48,28.88,45687,70.63
27213,ppxtoa,49,2780.98,40.46,58.17,45.25,56.97,51.71,29.56,76542,61.23
9226,ctouwt,33,3983.33,66.92,45.38,56.27,60.92,31.22,15.14,71326,67.82
14912,zogokk,56,8440.59,52.78,42.11,63.04,52.97,44.19,26.23,,83.46
80418,btbgqq,30,551.56,63.46,46.52,57.33,49.48,58.54,32.74,64926,63.53
71053,ffmbwi,44,3683.12,64.9,56.47,39.09,62.2,48.55,31.14,17483,74.98
80493,tzedgg,25,2343.04,29.54,51.85,47.03,56.85,48.02,44.85,94951,67.1
31447,wrebox,27,872.74,64.46,44.6,42.56,57.94,57.55,25.17,48461,64.67
32435,kjhurc,21,1394.14,36.68,58.05,69.68,64.75,53.91,28.24,76618,62.89
34926,jfrlux,43,3496.09,44.8,52.64,33.24,62.49,55.15,29.95,44547,65.66
48686,acmedj,43,9483.74,71.86,34.87,45.6,44.03,56.25,21.87,,83.93
85018,lyvgnw,49,3535.98,39.14,52.96,55.52,61.84,49.99,31.64,80747,65.71
28352,creswq,49,751.82,71.52,56.92,43.56,59.46,65.85,20.52,87407,63.21
93054,vtuoei,45,1980.23,42.71,72.33,58.47,42.97,41.41,34.58,84890,56.99
39618,mipzge,50,3293.37,62.83,48.41,49.66,69.19,48.86,27.91,70058,75.06
23024,xnwuyj,43,10078.81,61.52,44.16,61.79,43.29,49.69,25.41,8686,83.36
92888,bmsajy,43,556.68,40.08,57.15,25.83,51.82,47.27,27.42,5987,50.09
96720,vstids,35,2355.25,46.29,51.65,35.58,33.14,51.79,22.5,51715,49.51
22231,jrsttq,16,395.31,54.91,40.75,51.56,42.24,74.65,34.71,37417,67.97
66183,yfzhkh,39,11261.86,51.55,52.84,50.39,45.79,59.19,32.35,,87.52
19472,adhnbv,21,7063.19,36.86,56.27,58.48,41.15,27.15,32.67,82389,74.94
68232,pfjqcg,37,3754.88,52.28,37.11,56.74,45.32,35.12,40.89,73920,70.17
61225,gzdveg,54,3567.11,55.22,36.99,49.16,60.9,41.23,45.74,93159,82.27
27978,lgvucx,21,9305.27,45.37,56.99,60.77,54.99,30.98,41.99,7241,94.81
67491,jtzlan,21,10087.08,40.48,43.27,62.24,41.9,38.73,29.64,,83.98
34268,cztoed,45,6499.49,45.01,62.18,64.28,58.83,58.98,30.53,34428,74.23
34276,hlqswv,43,4326.06,50.53,57.48,55.49,58.23,62.89,26.34,55734,67.02
77135,vnekoa,56,15940.02,63.24,64.96,29.92,39.15,43.63,24.17,,104.54
24802,yejzil,22,2305.0,34.63,41.51,68.82,56.65,47.47,28.53,51354,61.64
16857,zodrhj,59,13235.96,58.67,43.44,48.69,38.98,45.03,30.58,,100.3
13296,vphnlw,23,32167.78,63.67,32.57,46.13,54.46,51.29,26.11,,160.06
37075,wgetoo,49,5232.11,78.17,60.93,58.18,47.54,56.54,16.66,75668,73.29
47043,taxxhz,60,1018.49,54.76,36.53,31.64,59.53,54.03,29.79,37216,68.99
44709,yhkcuz,22,2195.87,30.14,59.43,46.02,42.49,33.01,28.38,37565,54.9
38448,ytshdt,58,2384.37,30.42,41.85,45.7,42.2,46.43,31.9,66282,57.49
74852,ntfvxw,39,2444.52,45.97,47.09,56.63,46.18,55.01,18.46,43648,51.04
38924,awdlpf,43,2916.24,47.09,49.58,48.76,27.72,30.76,38.73,84875,58.71
7109,plajbl,57,203.42,48.38,39.27,47.56,47.57,55.39,32.12,52841,59.27
48006,ubibsy,53,1200.38,53.12,45.87,57.76,42.58,35.51,29.94,46155,58.92
95511,vymgvt,42,6001.3,58.14,48.82,59.39,59.71,28.92,30.57,9822,77.87
48084,kbcoxc,56,1462.97,60.78,60.66,60.19,47.59,37.15,30.82,84592,66.62
84152,knrhce,56,3302.21,54.23,48.89,41.52,54.42,53.84,40.48,57587,77.21
47545,zkkkvr,18,3868.16,24.3,51.49,48.1,53.83,64.47,42.19,42447,72.28
16694,ncngto,21,432.95,50.76,51.89,58.34,34.61,57.81,32.69,99966,58.53
95764,thrfcu,45,795.2,46.91,26.74,61.07,52.16,62.18,31.62,17022,56.36
46565,konlba,24,1653.85,52.43,43.88,43.86,44.42,55.41,32.52,41557,63.8
72576,qcwuie,45,1315.73,70.55,46.5,54.15,74.6,51.21,18.55,40289,67.11
67672,dwacji,37,897.67,48.44,55.66,50.58,59.69,58.52,23.4,88223,54.69
39090,qanhkd,18,1542.43,65.44,62.17,55.13,50.99,26.27,20.35,26019,68.4
21882,aolbgf,16,1098.68,43.75,56.81,54.04,59.14,49.6,18.75,85499,61.93
82096,aygkiw,39,1879.29,57.4,45.8,60.44,45.32,64.54,31.24,8712,60.93
98410,jrgrts,49,7598.87,44.22,40.08,49.02,58.94,54.34,28.51,14139,77.22
14479,gdzuwj,41,3168.59,54.92,51.63,48.75,53.52,38.93,37.18,84506,69.81
1416,fklset,35,3188.86,36.83,48.85,72.69,57.22,53.62,31.87,22099,61.27
97513,ycelae,59,5873.1,50.72,38.67,68.72,37.21,49.86,26.32,78172,72.04
99676,yvsxnc,42,2672.1,57.68,42.1,34.88,42.09,38.38,30.38,23067,61.95
23837,ejfgrm,50,1269.21,56.8,51.14,53.24,34.24,37.92,25.96,61534,54.28
71599,qepokp,32,1800.75,48.42,68.22,46.84,26.83,43.18,31.68,10809,52.69
42048,fepced,37,1187.11,48.53,43.46,49.92,51.01,53.68,25.13,44215,53.8
38180,kyqlrg,45,3783.88,49.25,47.77,46.54,31.28,52.45,24.77,2091,55.68
93756,lxtxgo,47,2954.1,58.49,37.44,67.72,51.37,48.41,39.01,52703,71.91
50791,awblum,56,14086.4,31.56,38.77,49.57,48.44,39.94,35.79,,95.9
77644,ogueat,17,5141.61,40.4,43.4,42.33,62.47,45.05,31.11,49807,79.89
57915,kyudud,48,3319.83,46.83,60.13,37.37,55.43,58.42,31.43,54544,65.62
73478,pbxbtu,45,1996.81,49.64,42.46,31.32,46.43,46.52,42.93,8393,65.67
23758,eakxcn,60,2743.19,61.48,67.15,48.45,41.41,51.3,40.72,77894,77.28
37945,xgmhfb,19,3696.34,54.56,58.58,64.78,54.66,41.72,34.16,73490,78.7
28295,zttgri,20,4233.28,46.87,42.11,51.36,37.91,39.48,36.92,32499,72.62
49428,olonsw,22,1903.54,49.78,68.97,47.66,50.4,39.34,31.15,17221,65.99
65727,gxtgia,33,44618.03,53.57,38.73,40.62,46.66,58.85,25.65,,185.81
34709,ajiwkb,21,3375.92,60.04,51.94,39.5,38.59,79.95,27.17,32863,69.2
85813,rybdzh,54,4941.41,46.62,52.98,41.24,37.48,51.86,29.66,10756,66.29
71833,tkjhfk,17,724.78,54.07,66.09,43.54,50.99,59.81,27.1,17953,66.15
13032,xrrdrl,58,9491.08,43.09,60.78,61.99,51.14,46.52,24.9,1088,82.75
90154,ppafpj,27,5707.29,48.37,46.05,58.6,54.56,53.55,42.08,38040,81.29
91127,ahfpzt,43,618.16,56.99,50.6,37.56,59.78,51.32,30.51,50425,61.35
46352,lrfyxx,50,4247.1,53.43,48.09,40.19,44.57,29.76,26.29,61010,65.36
8160,ywrveu,59,14893.54,57.34,53.96,52.98,42.95,51.54,30.14,,105.76
94564,klbduv,26,2361.67,58.62,50.33,51.74,51.18,46.18,22.78,26092,63.82
98438,ibnkmu,24,37674.36,51.92,41.86,65.15,60.59,54.64,41.25,,181.81
7901,dgclgh,31,1136.45,30.26,30.7,51.62,61.42,56.93,24.66,90367,50.84
72160,lzrxgh,25,7362.71,67.53,48.47,49.17,53.37,67.61,35.09,91856,90.68
97345,yjnjoe,33,2248.84,54.88,49.02,53.33,49.86,52.1,32.49,76389,64.15
87566,shmafd,55,6623.11,40.04,35.66,70.04,63.49,55.51,29.62,28241,77.59
34241,wqtjnq,59,2344.91,23.75,51.76,46.7,60.75,34.52,30.08,49179,60.34
95364,pxqdvy,24,1316.22,44.63,57.67,61.1,31.24,38.11,30.99,59888,54.58
36657,gtfmty,18,681.88,45.45,38.28,80.06,55.9,36.12,26.68,98154,63.0
91197,tertfb,31,818.99,44.19,48.67,63.96,64.54,63.54,28.35,86112,58.57
8921,cczphk,40,2264.58,45.5,67.13,68.4,51.04,49.59,29.38,44817,58.07
94743,tqvhgg,42,10212.08,51.16,47.98,53.43,40.65,50.07,18.59,,74.78
80100,bnhsru,20,8647.61,70.28,57.44,44.8,47.16,62.33,17.87,,87.33
70656,ugpzxg,20,1603.36,64.32,39.01,52.14,54.09,55.36,26.83,34194,71.14
40935,mogtir,36,4680.68,52.1,57.41,56.64,55.48,48.4,27.12,4308,68.41
85015,fzshdc,48,2199.47,58.81,60.67,30.88,41.76,32.4,25.08,11642,59.06
77146,tzqjdi,45,3331.99,55.89,54.66,75.29,38.81,41.81,35.89,88201,65.73
97875,ujnpld,26,2353.73,49.06,43.41,55.94,45.13,64.61,16.06,21043,54.2
70344,gogptr,26,3319.28,38.35,59.26,53.51,73.15,33.48,23.46,93568,66.0
16306,ebiktl,50,7234.05,50.17,32.13,64.35,49.82,59.29,35.33,,79.85
59771,lxbpwd,37,4421.88,51.91,59.0,37.74,65.6,62.16,18.14,65154,65.54
72786,zjzkqx,33,4341.25,50.99,52.53,44.69,47.51,50.34,30.3,76863,66.87
45504,tlzmkt,49,3251.85,48.97,53.15,62.41,33.77,46.56,27.17,51636,57.26
60445,agnkbs,43,1836.09,24.49,57.05,42.5,47.46,44.05,35.61,53339,50.97
13656,juvrho,19,6727.6,50.04,62.74,50.57,45.56,30.23,31.03,91181,81.29
67577,vkguri,32,9773.96,52.31,56.53,54.18,44.6,47.41,24.49,31479,79.76
59515,gbhwmy,59,641.01,40.78,48.04,43.71,36.73,55.71,27.25,13958,52.74
99492,qaooej,24,949.55,56.82,62.94,35.48,54.29,57.03,27.54,15512,63.77
14862,wtqxno,42,771.28,47.07,37.9,56.78,61.21,66.54,32.64,53086,59.41
9036,dqtauo,38,2586.87,50.16,58.44,41.5,54.8,38.8,33.2,37663,64.36
82433,jejxii,17,9764.26,46.28,69.17,48.55,67.81,52.01,33.64,,99.26
63872,qmtzjg,56,909.86,34.05,56.71,45.15,43.86,44.17,22.74,62520,48.47
95732,ezwcaf,46,4838.22,52.78,63.73,67.43,55.72,51.67,29.81,89879,71.17
32662,lxhyyb,46,8288.57,80.74,47.05,51.83,44.58,50.3,15.23,44047,80.83
67323,iwmkir,36,2425.47,59.58,29.03,54.79,65.18,36.71,20.07,80225,63.73
35959,gxreli,32,11117.21,42.07,49.73,64.25,57.26,58.08,37.69,32704,91.27
43849,ekfriw,36,2304.83,43.29,57.02,49.94,58.16,51.81,30.6,23369,60.6
65364,gfzybm,40,8308.11,41.56,49.63,45.19,50.74,51.3,32.35,2599,76.22
87380,xqydtd,46,2525.57,36.0,52.85,37.74,65.21,61.35,24.04,48487,57.27
89466,vnhtnp,59,5728.39,51.49,44.96,36.65,52.35,44.96,41.49,7946,85.4
88439,souisk,51,2155.05,48.47,69.29,51.66,52.66,37.96,35.0,92824,65.07
47417,imcsgc,35,1473.08,56.94,55.44,48.38,48.12,37.89,27.9,52142,59.0
58608,sxwvba,30,375.57,23.79,52.88,41.6,70.59,54.24,38.0,25000,56.89
35423,zqpblv,53,8704.15,41.35,41.46,40.2,59.82,30.65,35.81,57433,85.59
83846,hcvpbc,17,3406.41,41.31,44.34,51.52,44.41,50.61,21.71,14570,63.91
97454,sslvac,30,969.53,50.15,55.49,46.07,55.15,40.41,25.18,14530,56.97
41549,auekpn,31,3186.69,58.48,45.56,58.79,47.08,53.35,26.69,59944,64.85
73202,msxmbr,34,1602.45,65.0,86.67,80.39,56.67,51.17,27.84,,65.53
45023,cbvzhd,41,1135.26,68.61,39.09,65.04,61.74,67.16,24.35,76623,64.51
47861,lqyxth,23,2445.74,49.22,41.78,46.45,43.11,67.01,25.86,19852,61.34
36244,fbvnxj,55,1930.82,48.42,52.77,44.42,55.66,63.42,20.9,85114,59.38
4048,skulux,41,1457.94,59.78,56.18,50.71,51.18,57.46,35.98,86097,65.19
99446,jgedfu,41,2786.08,47.44,51.83,54.51,64.53,45.23,31.54,60749,65.98
86044,lfrwqb,51,4464.13,41.17,39.65,69.16,29.59,47.39,36.13,40312,62.34
7815,tcbzbt,28,1322.42,57.58,32.47,70.36,47.49,58.64,30.82,61621,62.64
92327,duigps,53,2197.94,45.63,30.58,39.2,38.25,47.22,26.3,87726,55.46
42136,shcolg,23,696.28,55.4,31.06,52.94,29.05,53.45,25.0,41516,53.57
37319,keqoyl,35,1081.73,37.07,52.9,60.66,57.48,46.52,32.56,81014,55.53
60376,ofdkjs,29,14271.17,37.06,41.48,55.09,50.37,44.71,42.33,,100.3
48011,yuofhr,45,2010.59,39.18,59.41,37.95,52.01,62.22,26.29,98724,53.83
52095,ypzseb,16,1856.6,31.34,48.46,54.75,50.77,51.4,28.19,10166,61.94
22557,qeiftj,37,482.85,48.04,35.39,40.58,65.01,54.15,16.42,30243,51.01
73692,cbmapn,24,4612.53,43.9,51.78,47.29,37.82,46.26,18.93,73088,59.41
96146,bzuckq,49,1531.95,56.78,47.29,30.42,52.08,76.68,17.67,44167,55.67
91487,hifero,58,13631.87,40.57,59.38,55.97,60.68,36.95,41.85,,106.88
45287,cdghve,50,8409.47,55.49,40.71,39.62,61.8,59.93,29.35,47723,85.93
80114,hnimrf,33,1544.39,39.3,62.47,50.58,35.73,42.87,24.25,519,46.59
93553,ppnlln,57,2849.84,35.79,52.79,55.89,49.28,47.58,19.87,72007,55.74
36703,ezttpm,42,13815.54,41.35,58.42,51.33,48.35,35.03,39.16,40496,95.86
35799,pwgrrw,59,1445.97,33.26,69.05,47.17,50.99,50.52,14.46,74877,49.42
54142,rlkgah,25,7905.92,49.51,37.89,41.19,37.01,60.95,31.3,74037,77.71
50649,aabrsc,52,3018.76,44.89,59.51,21.68,44.64,44.11,27.22,39245,59.69
8168,ghruqn,42,2327.51,54.39,50.57,53.65,66.37,42.82,24.88,88937,64.24
78435,ufgsgf,16,9977.76,56.29,38.16,32.16,48.8,72.49,33.82,,98.86
29238,taagvd,18,2439.62,59.38,48.6,52.21,51.51,52.63,35.17,34787,77.28
3639,dhnfra,51,11884.6,32.36,37.25,51.0,43.89,52.75,27.44,19104,80.7
34749,fgjhvm,17,3135.64,40.61,31.32,49.95,36.66,56.6,22.86,79367,60.99
65852,knefcj,45,1278.56,55.69,48.13,35.73,63.08,36.41,31.06,84602,64.5
40628,giuout,34,4305.95,59.34,56.12,60.52,47.49,24.56,30.98,70410,70.23
5768,ubsdjw,57,12905.99,53.54,51.89,53.53,59.73,62.81,28.72,,101.4
12702,ysyqqj,29,293.07,49.9,51.6,53.16,25.83,31.61,20.17,95668,43.02
43602,njainh,22,4018.95,49.89,48.44,41.77,38.75,53.73,33.77,66561,70.14
12434,nvaxcr,39,2563.57,42.45,47.22,25.65,46.63,57.39,36.05,70228,60.16
99237,ticnry,41,3277.57,42.35,54.9,37.01,44.12,58.19,28.94,84219,57.41
52289,acfuin,60,975.48,42.82,44.1,32.82,48.53,51.33,27.75,43528,59.4
98301,dwcqve,43,9861.08,68.87,39.31,32.02,31.87,41.05,25.13,57589,81.83
22008,kwjqhy,23,951.03,52.32,62.98,37.03,70.18,52.06,22.42,59510,64.8
71959,onioyz,40,11287.94,53.81,73.28,38.32,50.6,52.97,37.92,41101,93.19
49840,kflfrq,19,1053.46,61.85,38.09,42.11,50.38,53.81,29.9,22786,69.88
41829,wiauxe,49,13853.31,48.58,49.66,56.33,59.69,52.3,24.74,,95.81
76352,vgquui,17,1384.67,60.26,51.7,56.88,64.83,35.03,20.73,88753,71.4
56654,dqszxf,55,1663.08,55.95,47.66,58.71,45.4,53.2,24.23,21854,60.21
77909,nqbpeg,29,2770.34,55.28,55.98,51.34,44.88,43.18,40.66,11400,70.38
18576,xtxabn,24,10239.81,51.91,47.61,37.29,53.87,54.81,31.17,,91.61
15047,lbzkvy,45,622.09,17.41,60.18,56.47,70.61,56.37,32.85,63678,50.65
83848,awbgjs,20,5174.04,51.32,61.29,59.53,49.68,48.41,30.92,96043,77.57
95514,ywdjgb,38,725.26,58.16,57.91,41.81,42.39,61.54,32.76,72362,57.76
83217,kjpyei,27,7492.5,61.02,55.28,49.72,50.74,65.61,35.25,12511,86.59
89405,madnux,22,4152.14,60.86,50.22,65.94,48.83,58.97,30.82,24358,76.47
31039,wrtsmw,27,9068.0,33.34,42.18,47.88,47.35,35.72,40.05,69033,81.9
5504,yzpkol,17,884.48,44.36,63.11,55.56,40.97,69.11,29.36,71220,60.82
95654,mdlsvl,55,2688.18,23.64,58.6,38.52,56.03,54.15,23.41,,53.29
55946,raoipv,59,5771.39,48.33,56.21,57.03,42.37,66.08,35.67,7479,77.76
23398,cjhhxf,17,1421.08,60.91,61.06,56.78,49.65,56.83,37.34,72428,76.38
38276,hlxxus,48,848.29,50.98,48.22,34.35,51.49,56.69,43.84,82236,65.68
53060,dkwgup,21,27155.65,37.74,37.41,37.94,60.97,61.16,30.94,,140.93
59662,zprucx,35,8280.62,63.91,45.38,48.35,65.5,66.08,16.83,65213,81.46
71088,xupbmh,59,1153.36,41.84,58.37,53.22,32.49,52.28,23.78,37766,51.37
54124,cpvknf,31,6246.84,52.55,52.87,49.67,41.31,67.57,30.8,77050,72.16
2167,tojzte,18,3802.05,42.03,44.99,56.27,45.59,40.43,25.66,66816,67.11
58678,jizrnd,33,7128.01,48.44,45.03,61.55,50.83,40.96,31.93,94213,76.21
29417,tjmgtr,47,1308.19,36.99,62.81,51.35,40.92,72.06,43.89,33950,57.81
29760,taecgb,46,7390.33,52.73,67.03,59.16,68.26,52.2,28.92,,82.31
432,iwbqbu,20,6403.53,47.63,55.14,59.1,48.33,54.01,13.86,18932,69.63
81971,muvazh,26,3835.8,57.92,42.45,75.07,42.61,50.09,19.92,10065,63.58
32889,zfwqmt,51,9532.6,62.6,48.24,39.57,59.83,52.46,23.46,,88.58
81920,lhxmwc,35,6539.92,36.07,48.04,61.07,52.32,35.57,30.49,87023,68.67
44168,vppqlm,27,3404.21,37.55,27.62,47.14,60.41,49.66,38.94,76326,70.14
66101,npvhkd,16,16152.4,49.98,47.54,67.69,67.18,50.54,32.25,27606,119.85
22127,mkcybh,39,15091.92,58.05,42.34,47.44,46.96,79.92,17.63,4223,93.59
82225,lkeqmg,44,4007.88,41.9,44.87,45.36,47.22,26.81,40.82,15152,67.48
48449,pfitpp,29,3430.58,46.81,54.61,60.63,56.01,52.62,33.42,29616,68.41
24225,wnkhjm,44,2215.06,41.8,59.49,51.99,53.82,50.2,26.92,79394,56.25
87128,zpgfbp,19,833.46,48.15,44.66,43.26,45.07,54.29,28.75,70793,61.39
48629,xdksbp,22,5728.24,50.23,41.04,50.49,61.61,48.24,29.2,61950,80.12
85683,bzlrhg,33,322.34,35.49,50.84,39.26,40.75,42.15,44.51,17810,54.55
64397,icxhel,19,3160.82,55.01,59.12,61.97,43.98,40.45,21.28,78311,66.51
94934,tgdazh,26,13494.11,58.95,42.61,60.15,39.36,49.83,40.05,,103.41
58599,hnlqpb,17,1361.23,47.24,53.91,47.29,46.82,42.57,31.0,60155,66.21
87512,vgxyqc,37,1655.36,63.9,61.04,67.71,60.79,39.34,37.7,82974,71.65
16752,nbzgwj,24,5275.93,48.17,48.46,50.78,65.44,45.43,32.28,4651,79.56
39472,sreqsp,56,6447.62,33.86,56.57,41.89,47.36,66.92,33.49,22758,72.25
